Company Name,Sales Growth,ROA,Total Accruals,Operating Cash Flow,CAPEX,R&D,Leverage Ratio,Working Capital Ratio,ForeignOp,ETR,Market-to-Book,Log(Total Assets),Big N,year,Bog Index,Tax Effectiveness,Accounting Analytics Mention,Fama-French industry code (5 industries),nyyear,NYWorking Capital Ratio,NYLeverage Ratio,NYROA,NYBig N,NYCAPEX,NYR&D,NYForeignOp,NYSales Growth,NYMarket-to-Book,NYETR,NYBog Index,NYAccounting Analytics Mention,Log(Total Assets),NYTax Effectiveness,NYTotal Accruals,NYOperating Cash Flow
CECO ENVIRONMENTAL CORP,0.135,-0.077,-0.216,0.140,0.002,0.000,0.245,1.455,1.000,-0.160,2.507,6.212,0.000,2016.000,86.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2017.000,1.613,0.253,-0.007,0.000,0.002,0.000,1.000,-0.173,0.951,1.000,87.000,0.000,6.083,1.000,-0.022,0.015
CECO ENVIRONMENTAL CORP,-0.173,-0.007,-0.022,0.015,0.002,0.000,0.253,1.613,1.000,1.000,0.951,6.083,0.000,2017.000,87.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2018.000,1.548,0.210,-0.018,0.000,0.008,0.000,1.000,-0.022,1.316,1.000,89.000,0.000,5.973,1.000,-0.074,0.056
CECO ENVIRONMENTAL CORP,-0.022,-0.018,-0.074,0.056,0.008,0.000,0.210,1.548,1.000,1.000,1.316,5.973,0.000,2018.000,89.000,1.000,0.000,"Manufacturing, Energy, and Utilities",2019.000,1.558,0.199,0.043,0.000,0.014,0.000,1.000,0.013,1.394,-0.327,90.000,0.000,6.013,1.000,0.018,0.025
AVX CORP,-0.117,0.042,-0.027,0.069,0.020,0.006,0.000,9.356,1.000,0.232,0.967,7.787,1.000,2016.000,91.000,0.570,0.000,"Business Equipment, Telephone and Television Transmission",2017.000,8.499,0.000,0.051,1.000,0.027,0.007,1.000,0.098,1.241,0.281,90.000,0.000,7.815,0.681,-0.028,0.079
AVX CORP,0.098,0.051,-0.028,0.079,0.027,0.007,0.000,8.499,1.000,0.281,1.241,7.815,1.000,2017.000,90.000,0.681,0.000,"Business Equipment, Telephone and Television Transmission",2018.000,5.777,0.000,0.002,1.000,0.038,0.007,1.000,0.190,1.243,0.974,97.000,0.000,7.891,0.833,-0.071,0.073
PINNACLE WEST CAPITAL CORP,0.001,0.028,-0.036,0.064,0.081,0.000,0.251,0.636,0.000,0.339,1.809,9.681,1.000,2016.000,97.000,0.825,0.000,"Manufacturing, Energy, and Utilities",2017.000,0.848,0.281,0.029,1.000,0.084,0.000,0.000,0.019,1.901,0.337,98.000,0.000,9.742,0.793,-0.037,0.066
ABBOTT LABORATORIES,0.022,0.027,-0.034,0.061,0.021,0.027,0.393,4.020,1.000,0.244,2.755,10.872,1.000,2016.000,91.000,0.643,0.000,"Healthcare, Medical Equipment, and Drugs",2017.000,2.261,0.357,0.006,1.000,0.015,0.029,1.000,0.313,3.221,0.832,88.000,0.000,11.242,0.630,-0.067,0.073
ABBOTT LABORATORIES,0.313,0.006,-0.067,0.073,0.015,0.029,0.357,2.261,1.000,0.832,3.221,11.242,1.000,2017.000,88.000,0.630,0.000,"Healthcare, Medical Equipment, and Drugs",2018.000,1.624,0.288,0.035,1.000,0.021,0.034,1.000,0.116,4.160,0.188,82.000,0.000,11.115,0.635,-0.059,0.094
ABBOTT LABORATORIES,0.116,0.035,-0.059,0.094,0.021,0.034,0.288,1.624,1.000,0.188,4.160,11.115,1.000,2018.000,82.000,0.635,0.000,"Healthcare, Medical Equipment, and Drugs",2019.000,1.442,0.257,0.054,1.000,0.024,0.036,1.000,0.043,4.924,0.096,106.000,0.000,11.126,0.654,-0.036,0.090
ACETO CORP,0.021,0.064,0.005,0.059,0.002,0.015,0.219,3.566,1.000,0.354,2.128,6.293,0.000,2016.000,90.000,0.674,0.000,"Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2017.000,2.116,0.327,0.011,0.000,0.002,0.008,1.000,0.143,1.148,0.345,91.000,0.000,6.945,0.619,-0.032,0.043
